,0,1
1094,ScHoolboy Q,8
1095,Clyde Carson,8
1096,Meek Mill,8
1097,Meek Mill,8
1098,Booba,8
1099,Booba,8
1100,Toni Braxton,8
1101,Booba,8
1102,Kaskade,8
1103,Alan Walker,8
1104,M83,8
1105,Janelle Monáe,8
1106,Demi Lovato,8
1107,Fall Out Boy,9
1108,Disclosure,9
1109,Classixx,9
1110,Teams vs. Star Slinger,9
1111,Third Day,9
1112,Darq E Freaker,9
1113,Baauer,9
1114,Pitbull,9
1115,Owl City,9
1116,Sebastian,9
1117,Sebastian,9
1118,French Montana,9
1119,The Partysquad,9
1120,Kreayshawn,9
1121,Puddle Of Mudd,9
1122,Fool's Gold,9
1123,Three 6 Mafia,9
1124,A$AP Rocky,9
1125,Rocko,9
1126,UGK,9
1127,Wiz Khalifa,9
1128,Bro Safari,9
1129,Insane Clown Posse,9
1130,Fall Out Boy,9
1131,Small Black,9
1132,Diddy,9
1133,Swishahouse,9
1134,Disclosure,9
1135,"Crosby, Stills, Nash & Young",9
1136,Brad Paisley,9
1137,Fall Out Boy,9
1138,Tevin Campbell,9
1139,Parliament,9
1140,Various Artists,9
1141,Queen,9
1142,Handsome Boy Modeling School,9
1143,The Chiffons,9
1144,Lex Luca,9
1145,Natalie Imbruglia,9
1146,Musical Youth,9
1147,Fetty Wap,9
1148,Jamie xx,9
1149,Skepta,9
1150,Cayucas,9
1151,Lord Echo,9
1152,Chip,9
1153,Brazilian Girls,9
1154,Three 6 Mafia,9
1155,Atmosphere,9
1156,Britney Spears,9
1157,Duck Sauce,9
1158,Destiny's Child,9
1159,Katy Perry,9
1160,Neon Indian,9
1161,Cali Y El Dandee,9
1162,Britt Nicole,9
1163,Skrillex,9
1164,Willie Hutch,9
1165,Mos Def,9
1166,The Seshen,9
1167,Tayyib Ali,9
1168,Bea Miller,9
1169,James Brown,9
1170,Joe,10
1171,Meek Mill,10
1172,Train,10
1173,J. Cole,10
1174,Janet Jackson,10
1175,J. Cole,10
1176,J. Cole,10
1177,Mýa,10
1178,Vanilla Ice,10
1179,Travis Hayes,10
1180,Backstreet Boys,10
1181,Oohyo,10
1182,Porter Robinson,10
1183,10cm,10
1184,Drake,10
1185,Ne-Yo,10
1186,Xscape,10
1187,Wyclef Jean,10
1188,Kygo,10
1189,Kris Kross,10
