,0,1
1042,AlunaGeorge,5
1043,Xscape,5
1044,Scott McKenzie,5
1045,Toni Braxton,5
1046,Albert King,5
1047,Clive Dunn,5
1048,Azizi Gibson,5
1049,Muddy Waters,5
1050,The Ronettes,5
1051,The Coasters,5
1052,Buscabulla,5
1053,Sammy Brue,5
1054,Vince Staples,5
1055,Fool's Gold,6
1056,Natalie Imbruglia,6
1057,QUIX,6
1058,W&W,6
1059,Britney Spears,6
1060,Rick Ross,6
1061,Meek Mill,6
1062,Shabazz Palaces,6
1063,Borgeous,6
1064,SOVI,6
1065,Major Lazer,6
1066,Cayucas,6
1067,R3hab,6
1068,Fall Out Boy,6
1069,Fall Out Boy,6
1070,Fall Out Boy,6
1071,The Vogues,6
1072,LCD Soundsystem,6
1073,Disclosure,6
1074,Tevin Campbell,6
1075,Carnifex,6
1076,French Kicks,6
1077,Washed Out,6
1078,Brazilian Girls,6
1079,Fit For An Autopsy,6
1080,Willie Hutch,6
1081,Iconoclast,6
1082,At Rest,6
1083,Risking It All,6
1084,Darknet,6
1085,Handsome Boy Modeling School,6
1086,Frank Ocean,6
1087,Mos Def,6
1088,The Partysquad,6
1089,Fetty Wap,6
1090,Ryan Stevenson,6
1091,Pitbull,6
1092,Small Black,6
1093,Britt Nicole,6
1094,Darq E Freaker,6
1095,Kreayshawn,6
1096,Third Day,6
1097,PALGOU,6
1098,Queen,6
1099,French Montana,6
1100,Yeah Yeah Yeahs,6
1101,Diddy,6
1102,XIA,6
1103,Frank Ocean,6
1104,Rocko,6
1105,"Crosby, Stills, Nash & Young",6
1106,Duck Sauce,6
1107,Tayyib Ali,6
1108,"Above, Below",6
1109,Chip,6
1110,ILoveMakonnen,6
1111,Destiny's Child,6
1112,Porcelain Raft,6
1113,Puddle Of Mudd,6
1114,Donny Osmond,6
1115,AFI,6
1116,Skepta,6
1117,Owl City,6
1118,Wiz Khalifa,6
1119,The Chiffons,6
1120,James Brown,6
1121,Classixx,6
1122,Teams vs. Star Slinger,6
1123,No Parents,6
1124,Sebastian,6
1125,Lex Luca,6
1126,Rick Ross,6
1127,Bro Safari,6
